Issue,Target,Pages,HTML,Flags,Impact,Requires involvement of,Tags
Elements must meet minimum color contrast ratio thresholds,#philosophy-heading,https://ethicic.com/,"<h2 id=""philosophy-heading"" class=""font-mono text-2xl font-semibold text-blue-300"">Ethics Reveal Quality</h2>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,"p[data-block-key=""u15sb""]",https://ethicic.com/,"<p data-block-key=""u15sb"">",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,#principles-heading,https://ethicic.com/,"<h2 id=""principles-heading"" class=""panel-title-ec"">
                            PRINCIPLES THAT GUIDE OUR WORK
                        </h2>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,"div:nth-child(1) > .mb-6.text-lg
div:nth-child(2) > .mb-6.text-lg",https://ethicic.com/,"<h3 class=""mb-6 font-mono text-lg font-semibold text-blue-300"">PROCESS</h3>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,"section[aria-labelledby=""strategies-heading""] > .card-header-ec > .panel-title-ec","https://ethicic.com/
https://ethicic.com/solutions","<div class=""panel-title-ec"">
                            THREE CORE STRATEGIES—MULTIPLE PATHS FORWARD
                        </div>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,"p[data-block-key=""6w8np""]",https://ethicic.com/,"<p data-block-key=""6w8np"">Each strategy offers a different approach to ethical investing, with varying levels of diversification and implementation.</p>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,#process-section-heading,https://ethicic.com/,"<h2 id=""process-section-heading"" class=""panel-title-ec"">
                            OUR SIGNATURE PROCESS
                        </h2>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,.space-y-6.card-content-ec > .text-xl,https://ethicic.com/,"<h3 class=""text-center font-mono text-xl font-semibold text-blue-300"">How We Build Ethical Portfolios</h3>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,".gap-4.flex:nth-child(1) > .flex-1 > h4
.gap-4.flex:nth-child(2) > .flex-1 > h4
.gap-4.flex:nth-child(3) > .flex-1 > h4
.gap-4.flex:nth-child(4) > .flex-1 > h4",https://ethicic.com/,"<h4 class=""mb-2 font-mono font-semibold text-blue-300"">Comprehensive Ethical Screening</h4>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,".gap-4.flex:nth-child(1) > .flex-1 > .text-gray-900.dark\:text-gray-300
.gap-4.flex:nth-child(2) > .flex-1 > .text-gray-900.dark\:text-gray-300
.gap-4.flex:nth-child(3) > .flex-1 > .text-gray-900.dark\:text-gray-300
.gap-4.flex:nth-child(4) > .flex-1 > .text-gray-900.dark\:text-gray-300",https://ethicic.com/,"<p class=""text-sm text-gray-900 dark:text-gray-300"">",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,"section[aria-labelledby=""serve-heading""] > .card-header-ec > .panel-title-ec",https://ethicic.com/,"<div class=""panel-title-ec"">WHO WE SERVE</div>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,.tracking-wider,https://ethicic.com/solutions,"<div class=""mb-4 font-mono text-sm font-bold uppercase tracking-wider text-purple-400"">
        ETHICAL INVESTMENT SOLUTIONS
      </div>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,#hero-heading,"https://ethicic.com/solutions
https://ethicic.com/blog","<h1 id=""hero-heading"" class=""mb-6 font-mono text-4xl font-bold leading-tight text-slate-900 dark:text-slate-100 md:text-5xl"">
        Investment Solutions
      </h1>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,.text-xl.mb-6.text-slate-600,https://ethicic.com/solutions,"<div class=""mb-6 text-xl text-slate-600 dark:text-slate-400"">
        Ethical investment strategies tailored for individuals, institutions, and investment advisers.
      </div>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,"section[aria-labelledby=""hero-heading""] > .text-center > .prose.mx-auto > p",https://ethicic.com/solutions,"<p>Whether you're an individual investor, institutional client, or investment adviser, we provide sophisticated ethical investment solutions that align your portfolio with your principles without compromising on performance.</p>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,#strategies-heading,https://ethicic.com/solutions,"<h2 id=""strategies-heading"" class=""mb-4 font-mono text-2xl font-semibold text-purple-400"">
        Three Core Strategies, Infinite Possibilities
      </h2>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,.mb-8.text-lg.text-slate-600,https://ethicic.com/solutions,"<p class=""mb-8 text-lg text-slate-600 dark:text-slate-400"">
        Our investment solutions are built around three core strategies, tailored to three distinct audiences, and delivered through multiple channels to meet you where you are.
      </p>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
